,lat,lon,type,lat_ind,lon_ind,distance
0,35.7702,-122.1135,1,103,80,0.31418669506964875
1,35.749,-122.1099,1,102,80,0.6542689644012795
2,35.762,-122.0904,1,102,81,0.8301701967470535
3,35.7408,-122.0868,1,101,81,0.5780226371251476
4,35.7196,-122.0832,1,100,81,0.6213091868348957
5,35.775,-122.0708,1,103,82,0.4003322650196397
6,35.7538,-122.0672,1,102,82,0.08495312355186022
7,35.7326,-122.0636,1,101,82,0.5119766489742169
8,35.7114,-122.06,1,100,82,0.9611204855732813
9,35.7668,-122.0477,1,103,83,0.7401615722016469
10,35.7456,-122.0441,1,102,83,0.9990060322290298
11,35.7244,-122.0405,1,100,83,0.811982275314389
12,35.7032,-122.0369,1,99,83,0.799142789052252
13,35.6395,-122.0262,1,96,84,0.6726506946491384
14,35.7586,-122.0245,1,102,84,0.5054844418409624
15,35.6183,-122.0226,1,95,84,0.8647366481311761
16,35.7374,-122.0209,1,101,84,0.15817503581998849
17,35.5971,-122.019,1,93,84,0.8997252439309128
18,35.7162,-122.0173,1,100,84,0.45313127601200565
19,35.5759,-122.0154,1,92,84,0.7963194259683533
20,35.695,-122.0138,1,99,84,0.8841668935880039
21,35.6313,-122.0031,1,95,85,0.6777967984664315
22,35.7504,-122.0014,1,102,85,0.5032039651967669
23,35.6101,-121.9995,1,94,85,0.26723264645505923
24,35.7292,-121.9978,1,101,85,0.7923118651121422
25,35.5889,-121.9959,1,93,85,0.30849025549589415
26,35.708,-121.9942,1,99,85,1.0499926905946224
27,35.5677,-121.9923,1,92,85,0.7291977481988329
28,35.6867,-121.9906,1,98,85,0.9977283392003555
29,35.5465,-121.9888,1,91,85,1.1673849021907399
30,35.6655,-121.9871,1,97,86,0.9913359615853206
31,35.6443,-121.9835,1,96,86,0.6173586157635216
32,35.6231,-121.9799,1,95,86,0.43848954760350656
33,35.7422,-121.9782,1,101,86,0.6795693808011841
34,35.6019,-121.9764,1,94,86,0.6459069030400449
35,35.7209,-121.9747,1,100,86,0.3801670438393928
36,35.5807,-121.9728,1,93,86,1.0233531333889
37,35.6997,-121.9711,1,99,86,0.5020772172620793
38,35.5595,-121.9693,1,91,86,1.0155932249936974
39,35.6785,-121.9675,1,98,86,0.8772748842137773
40,35.5382,-121.9657,1,90,86,1.0882335244096748
41,35.6573,-121.964,1,97,87,1.0835167440770637
42,35.517,-121.9621,1,89,87,0.7283129066307603
43,35.6361,-121.9604,1,96,87,1.0866322135305198
44,35.6149,-121.9568,1,94,87,0.8373119215704623
45,35.7339,-121.9551,1,101,87,0.27583609286950356
46,35.5937,-121.9533,1,93,87,0.48996192043826226
47,35.7127,-121.9515,1,100,87,0.6171301748850438
48,35.5724,-121.9497,1,92,87,0.43083229625223834
49,35.6915,-121.948,1,99,87,1.0425059013698965
50,35.5512,-121.9462,1,91,87,0.7347570029278488
51,35.6703,-121.9444,1,97,87,1.2104490245353727
52,35.53,-121.9426,1,90,88,1.1015127091908516
53,35.6491,-121.9409,1,96,88,0.9990065655567932
54,35.5088,-121.9391,1,89,88,1.0415455250440069
55,35.6279,-121.9373,1,95,88,0.5632073258255482
